"Notes","Month","Month Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Jan., 2000","2000/01","50-54 years","50-54",8335,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","55-59 years","55-59",10254,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","60-64 years ","60-64",13107,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","65-69 years","65-69",18311,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","70-74 years","70-74",26484,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","75-79 years","75-79",34919,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","80-84 years","80-84",38314,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","85-89 years","85-89",37224,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","90-94 years","90-94",24726,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","95-99 years","95-99",9614,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","100+ years","100+",2154,Not Applicable,Not Applicable
,"Jan., 2000","2000/01","Not Stated","NS",44,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","< 1 year","1",2227,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","1-4 years","1-4",416,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","5-9 years","5-9",262,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","10-14 years","10-14",259,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","15-19 years","15-19",926,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","20-24 years","20-24",1274,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","25-29 years","25-29",1339,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","30-34 years","30-34",1780,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","35-39 years","35-39",2996,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","40-44 years","40-44",4269,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","45-49 years","45-49",5644,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","50-54 years","50-54",7313,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","55-59 years","55-59",8758,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","60-64 years ","60-64",11006,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","65-69 years","65-69",15288,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","70-74 years","70-74",21987,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","75-79 years","75-79",28782,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","80-84 years","80-84",31130,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","85-89 years","85-89",29345,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","90-94 years","90-94",19183,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","95-99 years","95-99",7469,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","100+ years","100+",1635,Not Applicable,Not Applicable
,"Feb., 2000","2000/02","Not Stated","NS",30,Not Applicable,Not Applicable
